"Ativo","Data (EX-1)","Descrição","Fator"
"KLBN11<XBSP>","2020-02-10","Dividendo de $0.0043642 por ação",0.99891868689
"RENT3<XBSP>","2019-03-26","Juros sobre o capital próprio de $0.096414 por ação",0.99704432575
"RENT3<XBSP>","2019-05-03","Dividendo de $0.010069 por ação",0.99971913548
"RENT3<XBSP>","2019-06-24","Juros sobre o capital próprio de $0.10498 por ação",0.9974745719
"RENT3<XBSP>","2019-09-09","Juros sobre o capital próprio de $0.10368 por ação",0.99772230468
"RENT3<XBSP>","2019-12-17","Juros sobre o capital próprio de $0.099742 por ação",0.99789128188
"RENT3<XBSP>","2019-12-20","Bonificação de 0.05 novas ações por cada possuída",0.95238095238
"RENT3<XBSP>","2020-03-13","Juros sobre o capital próprio de $0.089007 por ação",0.997527591
"LAME4<XBSP>","2019-01-04","Juros sobre o capital próprio de $0.075077 por ação",0.99613203132
"LAME4<XBSP>","2019-12-09","Juros sobre o capital próprio de $0.168 por ação",0.99329876346
"LAME4<XBSP>","2019-12-09","Subscrição de 0.0096511 ações a $16.12 por cada possuída",0.99662896908
"LAME4<XBSP>","2020-01-10","Juros sobre o capital próprio de $0.0147 por ação",0.99944465433
"LREN3<XBSP>","2019-03-21","Juros sobre o capital próprio de $0.092945 por ação",0.99784150023
"LREN3<XBSP>","2019-04-18","Dividendo de $0.25419 por ação",0.99409144584
"LREN3<XBSP>","2019-04-30","Bonificação de 0.10 novas ações por cada possuída",0.90909090909
"LREN3<XBSP>","2019-06-25","Juros sobre o capital próprio de $0.07765 por ação",0.99832035475
"LREN3<XBSP>","2019-09-24","Juros sobre o capital próprio de $0.078588 por ação",0.99841236364
"LREN3<XBSP>","2019-12-23","Juros sobre o capital próprio de $0.077278 por ação",0.99862249554
"LREN3<XBSP>","2020-03-19","Juros sobre o capital próprio de $0.073638 por ação",0.99799896739
"MGLU3<XBSP>","2019-04-15","Dividendo de $0.37026 por ação",0.99773541355
"MGLU3<XBSP>","2019-08-05","Desdobramento: Cada ação será substituída p/ 8.00 novas ações",0.125
"MGLU3<XBSP>","2019-10-07","Juros sobre o capital próprio de $0.073607 por ação",0.9980831613
"MGLU3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.035789 por ação",0.9992497032
"MRFG3<XBSP>",,,
"MRVE3<XBSP>","2019-06-06","Dividendo de $0.37101 por ação",0.978799168
"MRVE3<XBSP>","2019-11-18","Dividendo de $0.37014 por ação",0.97795457951
"MRVE3<XBSP>","2019-12-10","Dividendo de $0.37012 por ação",0.98105851177
"MULT3<XBSP>","2019-06-27","Juros sobre o capital próprio de $0.18458 por ação",0.99321629954
"MULT3<XBSP>","2019-09-30","Juros sobre o capital próprio de $0.13417 por ação",0.99534935827
"MULT3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.15089 por ação",0.99544145831
